,product_id,product_name,aisle_id,department_id,suggested_products,suggested_prod_id,suggested_department,suggested_aisle
220,221,cayenne lemonade made raw tristate honey,31,7,"raw coconut aminos,peppermint lemonade,wild forest raw neem honey,nutrition raw pineapple raw protein,raw","[290,305,657,558,221]","[,7,13,19,13,,7]","[31,29,,3,88,31]"
221,222,honey nut oatmeal squares,121,14,"honey mustard,honey greek,gluten oatmeal variety pack,honey protein,honey cinnamon nut thins crackers","[459,216,445,996,222]","[16,14,19,19,14]","[120,130,,,3,125,121]"
222,223,kiwi strawberry sparkling water,115,7,"strawberry pomegranate,sparkling raspberry lemonade water beverage,sparkling lemon seltzer water,sparkling,fruitwaterâ strawberry kiwi sparkling water","[334,608,456,193,223]","[7,7,7,7,7]","[115,115,,77,,98,115]"
223,224,foaming hand soap kid watermelon,114,17,"essentials foaming facial cleanser,lemon verbena soap,complete spring water foaming antibacterial hand wash,ultra concentrated antibacterial hand soap lemon scent dishwashing liquid,antibacterial pomegranate tangerine hand soap moisturizer","[835,,27,662,689,224]","[11,11,17,11,17]","[,25,127,,74,127,114]"
224,225,3 seed blue corn dipping chips,107,19,"lite poppy seed dressing lite,yokids squeeze blue,poppy seed bagels,style corn,blue corn sea salt tortilla chips","[895,245,664,212,225]","[16,,3,15,19,19]","[120,,93,,81,107,107]"
225,226,shaved parmesan,21,16,"apricots,pretzel thins parmesan herb crackers,cheesy creations roasted garlic parmesan,garlic parmesan pita bread chips,blakes parmesan dinner","[585,,60,166,,81,226]","[19,,9,19,,1,16]","[,78,,,9,107,,38,,21]"
226,227,triple snack size,45,19,"fun size snacks,triple acting laundry stain remover,snack bags,triple ripple,snack size candy","[246,274,267,630,227]","[17,17,,1,19,19]","[75,87,37,45,45]"
227,228,soups lentil,69,15,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,lime sherbet,apricots","[,341,,342,,344,1000,,228]","[,9,,8,,1,10,15]","[,9,41,37,18,69]"
228,229,econet recycled bath sponge,109,11,"even the kitchen sink kitchen bath scrubber,100 recycled aluminum foil,euro sponge cloths,sponge blossoms,sponge mop","[160,828,674,268,229]","[13,17,17,17,11]","[,97,114,114,114,109]"
229,230,soda,77,7,"sparkling raspberry lemonade water beverage,apricots,juniper berry soda,key lime soda,soda","[1000,,371,,257,,196,,230]","[10,,7,,7,,7,,7]","[18,77,77,77,77]"
230,231,low sodium turkey,49,12,"turkey burgers,turkey chili,original turkey,turkey,classic culinary low sodium vegetable broth","[554,176,287,190,231]","[20,20,20,15,12]","[,1,96,96,69,49]"
231,232,blue bottle coffee frozen,37,1,"four pizza frozen sandwiches,frozen all pound cake,coffee liqueur,iced coffee,can bottle opener chrome","[358,522,,69,487,232]","[,1,,5,,7,17,,1]","[119,124,,26,,10,,37]"
232,233,chinese breakfast black,94,7,"goat spreadable breakfast fig,black salt caramel dark,black currant kombucha,pear and baby breakfast,black peppercorns","[921,336,493,481,233]","[19,,7,18,13,,7]","[,45,,31,,92,104,,94]"
233,234,tennessee whiskey,124,5,"creamline wild,eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,lime sherbet","[340,341,342,344,234]","[14,,9,,8,,1,,5]","[121,,,9,,41,,37,124]"
234,235,gluten muffin,105,13,"gluten all natural chip cookies,gluten rustica pizza,gluten sugar cones,gluten sugar cookie,pumpkin muffin","[414,903,847,,50,235]","[,1,19,13,13,13]","[,79,103,105,105,105]"
235,236,meatballs dog treats,40,8,"three ziti marinara meatballs,adult dog formula dog food,snack sticks rice recipe dog treats,small medium dental dog treats,gourmet dog treats bone","[531,722,,21,302,236]","[8,8,8,8,8]","[40,40,40,40,40]"
236,237,brambleberry herbal,94,7,"holiday sugar plum spice herbal,sleepytime sinus soother herbal,echinacea elderberry herbal,propolis herbal supplement,super slimming herbal","[452,942,272,348,237]","[,7,,7,11,,7,,7]","[94,94,47,94,94]"
237,238,alpha bits multigrain cereal,121,14,"smorz cereal,cheerios cereal,peanut cereal,toffee bits,multigrain peanut cereal","[365,,34,753,637,238]","[14,14,13,14,14]","[121,121,,17,121,121]"
238,239,chicharrones picante flavor pork rinds,107,19,"flavor pan popcorn,alcohol maple flavor,brownie flavor protein,lemonade flavor drink,tapatio salsa picante hot tortilla chips","[526,387,763,213,239]","[13,19,,7,19,19]","[104,,,3,,90,107,107]"
239,240,nature's seasons seasoning blend,104,13,"california blend,fiber blend,salt seasoning,all seasons salt,onion herb salt seasoning blend","[767,463,,,2,908,240]","[,1,13,13,13,13]","[116,104,104,104,104]"
240,241,shrimp pasta vegetables,38,1,"habanero lime shrimp flavor ramen noodle soup,spaghetti style pasta,roasted garlic pasta,linguine no 7 pasta,linguine pasta","[,33,244,972,424,241]","[9,9,9,9,1]","[131,,,9,131,131,,38]"
241,242,original red twists,45,19,"red food color,original puffcorn,red roses,candy original,original turkey","[631,573,303,176,242]","[19,17,19,20,19]","[107,,87,,45,,96,,45]"
242,243,taco reduced sodium seasoning,5,13,"sweet cooking rice seasoning,chipotle roasted garlic seasoning,crunchy soft taco dinner kit,low sodium turkey,salt seasoning","[922,850,231,463,243]","[13,,6,12,13,13]","[104,,30,,49,104,,,5]"
243,244,roasted garlic pasta,9,9,"linguine no 7 pasta,linguine pasta,cheesy creations roasted garlic parmesan,roasted garlic vinaigrette dressing,chipotle roasted garlic seasoning","[424,,60,962,922,244]","[,9,,9,13,13,,9]","[131,,,9,,89,104,,,9]"
244,245,poppy seed bagels,93,3,"3 seed blue corn dipping chips,raisin cinnamon bagels 5 count,mini pre sliced bagels,sliced onion bagels,lite poppy seed dressing lite","[,46,934,836,286,245]","[,1,,3,,3,13,,3]","[58,93,93,89,93]"
245,246,triple acting laundry stain remover,75,17,"2 1 laundry detergent,triple ripple,pods spring meadow detergent stain remover brightener,stain release boost wash stain remover pacs,laundry soil stain remover","[267,724,134,416,246]","[,1,17,17,17,17]","[37,75,75,75,75]"
246,247,perfectly thymed pita crisps baked,107,19,"chile con queso potato crisps,garlic parmesan pita bread chips,country style baked beans,100 wheat pita bread,baked rice crisps sour wasabi medium","[166,181,,83,902,247]","[19,15,,3,19,19]","[107,,59,128,,78,107]"
247,248,dried sweetened cranberries,117,19,"banana tiny fruits freeze dried snacks,freeze dried edamame veggie snack,dried parsley flakes,cranberry clusters dried cranberries,dried cranberries","[508,884,549,775,248]","[19,13,19,19,19]","[,50,104,125,117,117]"
248,249,pinot grigio california 2010,62,5,"all natural homestyle california lemon limeade,pink moscato california,cabernet sauvignon california,california merlot,california blend","[713,598,837,634,249]","[2,5,5,1,5]","[,,6,,28,,28,116,,62]"
249,250,authentic deep dish spinach garlic pizza,79,1,"ultra antibacterial dish liquid,ristorante pizza spinaci thin crust pizza,spinach pesto,pizza for one suprema frozen pizza,spinach basil garlic linguini","[356,813,,18,,76,250]","[1,9,1,9,1]","[79,,9,79,12,79]"
250,251,extra strength melatonin adult gummies,47,11,"extra spearmint sugar gum,awesome strength paper towels,extra sharp cheddar,chewables extra strength cherry creme 48 ct,extra strength berry","[679,169,295,345,251]","[17,16,11,,7,11]","[54,21,70,64,47]"
251,252,waffles red berry,121,14,"extra strength berry,red roses,rio berry,mini homestyle waffles,belgian waffles","[573,266,162,536,252]","[17,,7,,1,,1,14]","[,87,,64,,52,,52,121]"
252,253,vegetable greens greens juice blend,31,7,"vegetable tray,california blend,fiber blend,100 cranberry juice blend,power greens","[634,767,806,872,253]","[1,1,7,7,7]","[116,116,,98,,31,,31]"
253,254,honey mustard,72,13,"honey glazed carrots,honey greek,honey protein,deli spicy brown mustard,honey mustard","[459,445,977,254,810]","[16,19,13,13,13]","[120,,,3,,72,,72,,72]"
254,255,cold remedy quick dissolve tablets cherry flavor,11,11,"cherry pie,rescue remedy spray,prenatal one tablets,cold cough formula effervescent tablets citrus,rescue remedy","[203,645,914,535,255]","[11,11,11,,2,11]","[11,47,11,,6,11]"
255,256,island fruits snacks,50,19,"annie's bunny snacks variety,air effects gain island fresh,fun size snacks,banana tiny fruits freeze dried snacks,teensy fruits baby snacks berry","[587,623,849,777,256]","[17,19,18,18,19]","[101,,45,,92,,92,,50]"
256,257,key lime soda,77,7,"juniper berry soda,lime sherbet,soda,soda,key lime moisture shave","[344,196,230,957,257]","[,1,,7,,7,11,,7]","[37,77,77,55,77]"
257,258,vegetable pot pie,38,1,"southwestern vegetable soup,nasaflo neti pot sinus relief premixed,vegetable tray,cherry pie,vegetable pie a pocket sandwich","[603,784,874,932,258]","[11,,4,,3,,1,,1]","[11,83,,8,38,38]"
258,259,imported italian solid light tuna pure olive oil,95,15,"argan oil of morocco renewing weightless healing dry oil hair oil,light strawberry,town house sea salt olive oil flatbread crisps,foldit flatbreads artisan rosemary olive oil,red wine olive oil dressing","[,,9,683,660,,65,259]","[16,19,,3,13,15]","[120,,78,128,,89,,95]"
259,260,cantaloupe,24,4,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,grassmilk,apricots","[,341,,342,,329,1000,,260]","[,9,,8,16,10,,4]","[,9,41,84,18,24]"
260,261,southwestern burrito,38,1,"sparkling raspberry lemonade water beverage,apricots,100 wheat flour burrito tortillas,the santa cruz burrito,southwestern vegetable soup","[1000,,737,,669,,644,,261]","[10,,3,,1,15,,1]","[,18,128,,38,,69,,38]"
261,262,petite dill pickles,110,13,"petite brussels sprouts,green peas petite,petite green peas,kosher dill babies,garlic barrel pickles","[327,969,537,710,262]","[,1,,1,13,13,13]","[116,116,110,110,110]"
262,263,red food color,97,13,"waffles red berry,tri color tortilla strips,red roses,lasting color shampoo,natural food color packets","[539,573,,55,323,263]","[13,17,11,13,13]","[89,87,22,17,97]"
263,264,non fat on the bottom greek,120,16,"non scratch scrub sponges,98 fat of soup,plain fat,honey greek,greek 100 calories fat","[621,953,459,894,264]","[15,16,16,16,16]","[,69,120,120,120,120]"
264,265,glass storage container green silicone protection,85,17,"petite green peas,apple green cups,take alongs twist seal liquid storage,cavity protection regular flavor toothpaste,glass bottles","[846,538,976,839,265]","[17,17,11,,7,17]","[111,,85,,20,,77,,85]"
265,266,rio berry,64,7,"ginger berry kombucha,double berry cheesecake,waffles red berry,super berry juice,extra strength berry","[672,252,802,345,266]","[,1,14,,7,,7,,7]","[,37,121,,31,,64,,64]"
266,267,triple ripple,37,1,"lemon gingersnap,chilpotles adobo,apricots,triple acting laundry stain remover,triple snack size","[,330,1000,,246,,227,,267]","[,6,10,17,19,,1]","[30,18,75,45,37]"
267,268,sponge mop,114,17,"basil daly soap,apricots,econet recycled bath sponge,euro sponge cloths,sponge blossoms","[1000,,229,,828,,674,,268]","[10,11,17,17,17]","[,18,109,114,114,114]"
268,269,stuffed crust five pizza,79,1,"stuffed pasta shells,thin crust pepperoni pesto pizza,thin crispy crust pepperoni pizza,crispy thin crust white pizza,ristorante pizza spinaci thin crust pizza","[992,571,926,356,269]","[1,1,1,1,1]","[79,79,79,79,79]"
269,270,onezip storage bags quart size value pack,85,17,"snack size candy,swaddlers diapers jumbo pack size newborn,chai bags,cruisers diapers jumbo pack size 5,snack bags","[765,281,682,274,270]","[18,,7,18,17,17]","[56,94,56,87,85]"
270,271,tai pei 14oz sweet sour chkn,38,1,"sweet lemon rain dance,sweet cooking rice seasoning,red sweet mini pepper,sweet buttermilk powder,baked rice crisps sour wasabi medium","[,70,991,395,902,271]","[,6,21,13,19,,1]","[,66,100,,17,,78,,38]"
271,272,propolis herbal supplement,47,11,"sleepytime sinus soother herbal,fiber 4g gummy dietary supplement,echinacea elderberry herbal,super slimming herbal,brambleberry herbal","[462,942,348,237,272]","[11,,7,,7,,7,11]","[70,94,94,94,47]"
272,273,thin stackers brown rice salt,107,19,"all seasons salt,rice vinegar,salt seasoning,chunky beef vegetables brown rice dog food,brown rice formula cat food","[,95,463,377,597,273]","[,6,13,,8,,8,19]","[,66,104,,40,,41,107]"
273,274,snack bags,87,17,"superflower hibiscus caffeine bags,smooth move chamomile laxative bags,triple snack size,snack size candy,chai bags","[880,227,630,281,274]","[,7,19,19,,7,17]","[94,45,45,94,87]"
274,275,caramel,103,19,"salted caramel lean protein fiber,mascarpone pistachio caramel gelato,black salt caramel dark,caramel whey protein,salted caramel ice","[497,921,370,606,275]","[,1,19,19,,1,19]","[,37,,45,,,3,,37,103]"
275,276,french ice,37,1,"salted caramel ice,french tarragon wine vinegar,international cafe french,ice cookies,french rolls","[,80,420,431,517,276]","[13,,7,,1,,3,,1]","[19,26,37,43,37]"
276,277,diet root beer,77,7,"micro craft beer,super dry beer,diet dr pepper bottles,beer ipa,lite beer","[379,695,736,470,277]","[5,7,5,5,7]","[27,77,27,27,77]"
277,278,instant mashed potatoes,4,9,"cut russet potatoes steam n' mash,yummy tummy maple brown sugar instant oatmeal,gold potatoes,gravy carrots peas corn mashed potatoes meatloaf nuggets,turkey meatloaf mashed potatoes","[106,306,524,518,278]","[18,,4,18,,1,,9]","[92,83,92,38,,4]"
278,279,everyday detox dandelion,94,7,"kombucha,apricots,everyday mega pack paper plates,purifying daily detox scrub,2 ply everyday napkins","[1000,,428,,133,,859,,279]","[10,17,11,17,,7]","[,18,111,109,,54,,94]"
279,280,makeup remover cleansing towelettes,73,11,"stain release boost wash stain remover pacs,pods spring meadow detergent stain remover brightener,triple acting laundry stain remover,calcium lime rust remover,laundry soil stain remover","[724,246,816,416,280]","[17,17,17,17,11]","[,75,,75,114,,75,,73]"
280,281,chai bags,94,7,"zipper bags sandwich 50 ct,superflower hibiscus caffeine bags,smooth move chamomile laxative bags,snack bags,sweet chai of mine chai bags","[447,880,274,721,281]","[,7,,7,17,,7,,7]","[94,94,87,94,94]"
281,282,oh my cod cod pate and vegetables cat food,40,8,"salmon and tuna formula dry cat food,liver patã canned cat food,brown rice formula cat food,sliced entree cat food,cat food premium adult cat formula","[668,597,442,848,282]","[8,8,8,8,8]","[41,41,41,41,40]"
282,283,wheat elbows,131,9,"100 wheat rigatoni,wheat spanakopita,wheat loaves,wheat fig,wheat tortillas","[360,666,457,,58,283]","[,1,,3,14,,3,,9]","[129,112,,48,128,131]"
283,284,spicy heirloom marinara,9,9,"spicy tomato basil pasta,medium spicy simmer,three ziti marinara meatballs,wild sardines marinara,heirloom boysenberries","[191,,30,187,803,284]","[,9,,1,15,,1,,9]","[,,9,,38,,95,116,,,9]"
284,285,mini nilla wafers munch pack,61,19,"red sweet mini pepper,golden cupcakes 8 pack,mini homestyle waffles,wheat mini toasts,banana sweet potato teething wafers","[569,162,681,,63,285]","[19,,1,19,18,19]","[61,52,78,92,61]"
285,286,lite poppy seed dressing lite,89,13,"3 seed blue corn dipping chips,dressing bleu,lite whipped topping,lite beer,poppy seed bagels","[163,582,470,245,286]","[13,,1,,5,,3,13]","[,89,119,,27,,93,,89]"
286,287,turkey,96,20,"low sodium turkey,ground turkey chub,turkey burgers,turkey chili,original turkey","[118,,23,554,176,287]","[,1,12,20,20,20]","[34,49,,1,96,96]"
287,288,original sprouted grains protein fiber hot oatmeal,130,14,"sprouted kale cracker,sprouted barley bread,fiber blend,protein,salted caramel lean protein fiber","[108,767,406,,25,288]","[,3,,1,19,19,14]","[112,116,,,3,,,3,130]"
288,289,100 juice no sugar added punch,98,7,"all natural 100 apple juice,punch juice drink,crushed pineapple 100 juice,no sugar added the original fudge pops,punch","[945,986,758,646,289]","[,7,15,,1,,7,,7]","[98,99,37,98,98]"
289,290,peppermint lemonade,31,7,"peppermint banana split variety pack frozen dairy dessert cones,sparkling raspberry lemonade water beverage,half 'n half lemonade,liquid drink blackberry lemonade,lemonade flavor drink","[334,471,385,763,290]","[7,7,7,7,7]","[115,,94,,90,,90,,31]"
290,291,mint dental floss,20,11,"mint flavored syrup,temples green mint,sugar mint patties,no wax floss classic 490,small medium dental dog treats","[560,382,867,,21,291]","[,7,19,11,,8,11]","[94,45,20,40,20]"
291,292,fresh multi purpose contact lens solution,44,11,"fresh scent dishwasher cleaner,totality multi symptom relief,ice bars multi pack,fresh oj,lemon fresh multi surface cleaner","[819,130,628,732,292]","[11,,1,,7,17,11]","[,44,,37,,98,114,,44]"
292,293,prime filets tuna dinner gravy cat food,41,8,"liver patã canned cat food,brown rice formula cat food,sliced entree cat food,cat food premium adult cat formula,salmon and tuna formula dry cat food","[597,442,848,970,293]","[8,8,8,8,8]","[41,41,41,41,41]"
293,294,minis original saltine crackers,78,19,"candy original,original turkey,minis candy bars,water crackers original all natural,original minis pretzel chips","[176,207,363,678,294]","[20,19,19,19,19]","[,96,,45,,78,107,,78]"
294,295,chewables extra strength cherry creme 48 ct,70,11,"extra sharp cheddar,protein shake banana creme,cherry pie,extra strength melatonin adult gummies,extra strength berry","[911,874,251,345,295]","[,7,,3,11,,7,11]","[64,,8,47,64,70]"
295,296,for men odor armor body wash,127,11,"invigorating face wash men,refreshing ocean breeze body wash,antioxidant cranberry body wash,moisturizing lavender body wash,lavender body wash","[823,441,878,474,296]","[11,11,11,11,11]","[127,,25,,25,,25,127]"
296,297,write bros ball point pens cap pen medium 1 0 mm black ink,100,21,"black currant kombucha,medium spicy simmer,chinese breakfast black,cat treats hair ball control,black peppercorns","[191,233,779,481,297]","[,9,,7,,8,13,21]","[,,9,,94,,41,104,100]"
297,298,brisk lemon iced,94,7,"strawberry lemon ade,zero strawberry lemon,lemon gingersnap,chamomile lemon,iced coffee","[659,331,,97,,69,298]","[,7,19,,7,,7,,7]","[115,,61,,94,,26,,94]"
298,299,apple spinach kale coconut water superjuice,98,7,"coconut drink,sprouted kale cracker,spinach pesto,coconut,pure coconut water orange","[103,813,920,,,7,299]","[19,,9,16,,7,,7]","[,78,,,9,120,,98,,98]"
299,300,enriched unbleached white flour,17,13,"100 wheat flour burrito tortillas,white writing gel,rice extra long grain enriched,fajita flour tortillas,white chili","[357,612,705,448,300]","[13,,9,,3,15,13]","[,97,,63,128,,59,,17]"
300,301,biotin 10 000mcg maximum strength,47,11,"extra strength berry,biotin collagen shampoo,biotin 1000 mcg,10 bamboo skewers,biotin super strength 7500 mcg tablets","[523,,42,578,656,301]","[11,11,17,11,11]","[22,47,10,47,47]"
301,302,gourmet dog treats bone,40,8,"adult dog formula dog food,t bone steak,snack sticks rice recipe dog treats,small medium dental dog treats,meatballs dog treats","[175,722,,21,236,302]","[12,,8,,8,,8,,8]","[122,,40,,40,,40,,40]"
302,303,candy original,45,19,"snack size candy,dark peanut candy,original puffcorn,original turkey,kisses candy","[901,631,176,184,303]","[19,19,20,19,19]","[,45,107,,96,,45,,45]"
303,304,dry roasted pistachios,117,19,"roasted vegetable soufflã,roasted garlic pasta,dry nose oil,dry pasta lasagne,super dry beer","[244,,,6,913,379,304]","[,9,11,,9,,5,19]","[,,9,,11,131,,27,117]"
304,305,wild forest raw neem honey,29,13,"honey protein,raw coconut aminos,cayenne lemonade made raw tristate honey,nutrition raw pineapple raw protein,raw","[742,221,657,558,305]","[13,,7,19,13,13]","[72,31,,3,88,29]"
305,306,gold potatoes,83,4,"southern style diced hash brown potatoes,cut russet potatoes steam n' mash,turkey meatloaf mashed potatoes,instant mashed potatoes,yukon gold potato bag","[,,8,518,278,391,306]","[1,1,9,4,4]","[116,,38,,,4,,83,,83]"
306,307,precious mozzarella,21,16,"lemon gingersnap,black currant kombucha,100 natural string mozzarella,string mozzarella,mozzarella","[336,505,217,617,307]","[,7,16,16,16,16]","[,31,,21,108,,21,,21]"
307,308,advanced haircare color vibrancy nourishing shampoo,22,11,"daily moisture shampoo,natural food color packets,red food color,shampoo baby shampoo,lasting color shampoo","[323,263,956,,55,308]","[13,13,18,11,11]","[,17,,97,102,,22,,22]"
308,309,graduates lil' entrees spiral pasta turkey meat green yellow beans,92,18,"original turkey,yellow cherry tomato,2 yellow american,turkey,graduates lil' meals spaghetti rings meat","[494,,98,287,873,309]","[,4,16,20,18,18]","[83,,2,96,92,92]"
309,310,crackers puffed corn quinoa sesame,78,19,"peanut cacao quinoa clusters,traditional water crackers,gluten quinoa three mushroom blend,style corn,thin cakes puffed multigrain","[145,,19,664,675,310]","[19,,9,15,19,19]","[78,63,81,78,78]"
310,311,naturals savory turkey breakfast sausage,52,1,"turkey burgers,sausage gravy biscuit,turkey chili,original turkey,turkey","[688,554,176,287,311]","[,1,20,20,20,,1]","[52,,1,96,96,52]"
311,312,juicing carrots,83,4,"creamline wild,gravy carrots peas corn mashed potatoes meatloaf nuggets,starting solids carrots baby food,peeled baby carrots,honey glazed carrots","[524,509,343,373,312]","[18,18,,4,,1,,4]","[,92,,92,123,116,,83]"
312,313,peppermint banana split variety pack frozen dairy dessert cones,37,1,"creamy soy frozen dessert,tasty treasures cat food variety pack,crunchy granola bars variety pack,gluten oatmeal variety pack,oreo cookies and frozen dairy dessert","[528,853,216,591,313]","[,8,14,14,,1,,1]","[,41,,48,130,,37,,37]"
313,314,extra whitening multi benefit fluoride toothpaste,20,11,"xyliwhite platinum mint toothpaste gel,cavity protection regular flavor toothpaste,ice bars multi pack,extra sharp cheddar,extra strength berry","[976,130,169,345,314]","[11,,1,16,,7,11]","[20,37,21,64,20]"
314,315,creamy italian dressing marinade,89,13,"creamy soy frozen dessert,italian pasta salad,dressing bleu,bbq concentrate marinade,for marinade","[209,163,553,807,315]","[20,13,13,13,13]","[,1,89,,5,,5,89]"
315,316,revive anti perspirant deodorant,80,11,"sparkling raspberry lemonade water beverage,dual action beta immune and anti oxidant effervescent citrus,anti diarrheal caplets,phoenix anti perspirant deodorant stick twin pack,advanced care skin renew anti perspirant deodorant","[413,146,393,801,316]","[11,11,11,11,11]","[11,70,80,80,80]"
316,317,best grains honey crunch oat bread,112,3,"honey protein,oatnut bread,asiago bread,sunflower bread,healthy grains oats honey clusters toasted coconut gluten","[889,856,346,812,317]","[,3,16,,3,14,,3]","[112,,21,112,,57,112]"
317,318,apple cinnamon crisp candle,101,17,"disinfectant spray crisp linen scent,premium apple juice,cinnamon pop'ettes,yahrzeit light memorial candle,ceylon cinnamon","[935,733,338,725,318]","[,7,19,,6,13,17]","[,98,,61,,33,104,101]"
318,319,steamfresh chef's favorites lightly sauced roasted red potatoes green beans,116,1,"instant mashed potatoes,red roses,garbanzo beans,gold potatoes,dark red kidney beans","[573,790,306,429,319]","[17,15,,4,15,,1]","[,87,,59,,83,,59,116]"
319,320,glycerine soap pure and natural cucumber,25,11,"lemon verbena soap,tzatziki cucumber,european cucumber,3 1 soap for every man cucumber lemon,soap pure castile 18 1 hemp lavender","[198,,45,152,337,320]","[20,,4,11,11,11]","[67,83,25,25,25]"
320,321,echinacea goldenseal alcohol extract,47,11,"lemon gingersnap,apricots,echinacea elderberry herbal,alcohol maple flavor,extract","[1000,,942,,526,,958,,321]","[10,,7,13,11,11]","[,18,,94,104,,47,,47]"
321,322,brooklyn pizza dough,79,1,"stuffed crust five pizza,cookie dough performance energy,dough for turnover pastries,ristorante pizza spinaci thin crust pizza,pizza for one suprema frozen pizza","[183,489,356,,18,322]","[19,,1,,1,,1,,1]","[,3,58,79,79,79]"
322,323,natural food color packets,17,13,"wild all natural spread,tri color tortilla strips,preference fade defying color shine system 9 5nb lightest natural blonde,lasting color shampoo,red food color","[539,770,,55,263,323]","[13,11,11,13,13]","[89,22,22,97,17]"
323,324,strong kind roasted jalapeno protein,3,19,"red jalapeno caesar dressing,hemp protein,honey protein,kind prenatal once daily,protein","[,75,445,,91,406,324]","[11,19,11,19,19]","[65,,3,47,,3,,3]"
324,325,veggie style mini corn dogs,42,1,"wheat mini toasts,blitz veggie smoothie mashups,ranch veggie dip,style corn,corn dogs mini honey crunchy flavor","[,94,147,664,154,325]","[18,20,15,,1,,1]","[,92,,67,,81,129,,42]"
325,326,deluxe made 2 macaroni dinner,4,9,"blakes parmesan dinner,autumn vegetable turkey dinner lil' bits purees dinner,elbow macaroni,spongebob shapes macaroni dinner,deluxe white cheddar bacon macaroni dinner","[,64,648,592,772,326]","[18,,9,,9,,9,,9]","[,92,131,,,4,,,4,,,4]"
326,327,green peas petite,116,1,"temples green mint,apple green cups,petite brussels sprouts,petite dill pickles,petite green peas","[846,436,262,969,327]","[17,,1,13,,1,,1]","[111,116,110,116,116]"
327,328,disinfectant spray cherry blossom pomegranate scent,101,17,"cherry pie,strawberry pomegranate,strawberry pomegranate,pomegranate,disinfectant spray crisp linen scent","[983,132,584,938,328]","[19,16,16,17,17]","[,,3,120,120,114,101]"
328,329,grassmilk,84,16,"creamline wild,eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,apricots","[,340,,341,,342,1000,,329]","[14,,9,,8,10,16]","[121,,,9,,41,,18,,84]"
329,330,chilpotles adobo,30,6,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,grassmilk,apricots","[,341,,342,,329,1000,,330]","[,9,,8,16,10,,6]","[,9,41,84,18,30]"
330,331,lemon gingersnap,61,19,"brisk lemon iced,lemon verbena soap,strawberry lemon ade,zero strawberry lemon,chamomile lemon","[835,399,659,,97,331]","[11,,7,,7,,7,19]","[,25,,31,115,,94,,61]"
331,332,raspberry fig bars,3,19,"minis candy bars,red raspberry jam,sparkling raspberry seltzer,peanut bars,wheat fig","[636,,44,985,457,332]","[13,,7,19,14,19]","[,88,115,,,3,,48,,,3]"
332,333,basil daly soap,25,11,"high fiber tomato basil soup,geranium daily soap,spinach basil garlic linguini,spicy tomato basil pasta,lemon verbena soap","[586,,76,640,835,333]","[11,,9,,9,11,11]","[25,12,,9,25,25]"
333,334,sparkling raspberry lemonade water beverage,115,7,"kiwi strawberry sparkling water,apple sparkling juice beverage,roarin' waters wild cherry water beverage,sparkling,sparkling raspberry seltzer","[618,933,456,,44,334]","[7,7,7,7,7]","[,98,,98,,77,115,115]"
334,335,kombucha,31,7,"creations four,complete health deboned meal and rice cat food,grassmilk,black currant kombucha,ginger berry kombucha","[342,329,336,875,335]","[,8,16,,7,,7,,7]","[41,84,31,31,31]"
335,336,black currant kombucha,31,7,"black salt caramel dark,chinese breakfast black,black peppercorns,ginger berry kombucha,kombucha","[233,481,875,335,336]","[,7,13,,7,,7,,7]","[,94,104,,31,,31,,31]"
336,337,soap pure castile 18 1 hemp lavender,25,11,"geranium daily soap,lemon verbena soap,lavender body wash,hemp protein,glycerine soap pure and natural cucumber","[835,474,,75,320,337]","[11,11,11,11,11]","[25,25,65,25,25]"
337,338,yahrzeit light memorial candle,33,6,"high protein light shake,light and fluffy pancake,apple cinnamon crisp candle,light string,light strawberry","[565,318,852,,,9,338]","[14,17,16,16,,6]","[130,101,,21,120,,33]"
338,339,creamline wild,120,16,"wild chanterelle mushroom ravioli,wild sardines marinara,wild all natural spread,wild rice blend,wild blueberries","[187,149,503,128,339]","[15,13,10,,1,16]","[,95,,88,,68,116,120]"
339,340,eco pac kamut puffs cereal,121,14,"special k original cereal,multigrain peanut cereal,cheerios cereal,smorz cereal,peanut cereal","[637,365,,90,,34,340]","[14,14,14,14,14]","[121,121,121,121,121]"
340,341,creations four,9,9,"creamline wild,eco pac kamut puffs cereal,disinfectant spray cherry blossom pomegranate scent,apricots,cheesy creations roasted garlic parmesan","[,340,,328,1000,,,60,,341]","[14,17,10,,9,,9]","[121,101,,18,,,9,,,9]"
341,342,complete health deboned meal and rice cat food,41,8,"liver patã canned cat food,proactive health mature adult hairball care cat food,sliced entree cat food,cat food premium adult cat formula,brown rice formula cat food","[501,442,848,597,342]","[8,8,8,8,8]","[41,41,41,41,41]"
342,343,peeled baby carrots,123,4,"shampoo baby shampoo,pear and baby breakfast,honey glazed carrots,juicing carrots,starting solids carrots baby food","[493,373,312,509,343]","[18,,1,,4,18,,4]","[,92,116,,83,,92,123]"
343,344,lime sherbet,37,1,"coconut lime lip balm,calcium lime rust remover,key lime moisture shave,key lime soda,clarified lime juice","[816,957,257,609,344]","[17,11,,7,13,,1]","[114,,55,,77,,17,,37]"
